SID,(SKU FOR SCANAPP),(TN FOR SCANAPP)
S7X1ZT0691,21110137A-21110137B,TN-01001506
S7X1ZT0692,21120004A-21120004B,TN-01001511
S7X1ZT0693,21120007A-21120007B,TN-01001512
S7X1ZT0694,21120008A-21120008B,TN-01003434
S7X1ZT0695,21120009A-21120009B,TN-01001513
S7X1ZT0696,21120010A-21120010B,TN-01001514
S7X1ZT0697,21120013A-21120013B,TN-01001515
S7X1ZT0698,21120032A-21120032B,TN-01001516
S7X1ZT0475,22030041A-22030041B,TN-01001697
S7X1ZT0643,22030052A-B,TN-01003553
S7X1ZT1164,22050061A-B,TN-01005759
S7X1ZT1166,22050063A-B,TN-01001861
S7X1ZT1168,22050065A-B,TN-01001862
S7X1ZT1169,22060001A-B,TN-01001889
S7X1ZT1224,22070017A-B,TN-01001915
S7X1ZT1225,22070018A-B,TN-01001916
S7X1ZT1226,22070019A-B,TN-01001917
S7X1ZT1227,22070020A-B,TN-01001918
S7X1ZT1229,22070028A-B,TN-01003848
S7X1ZT1234,22070036A-B,TN-01003861
S7X1ZT1238,22070043A-B,TN-01005044
S7X1ZT0444,DC06252020-07,TN-01003093
S7X1ZT0454,HT01062002,TN-01003075
S7X1ZT0447,JM09111901,TN-01001047
S7X1ZT0450,S-0049,TN-01001604
S7X1ZT0448,S-0063,TN-01001554
S7X1ZT0453,S-0065,TN-01001555
S7X1ZT0452,S-0069,TN-01001553
S7X1ZT0455,S-0070,TN-01003473
S7X1ZT1189,V-107,TN-01005247
S7X1ZT1188,V-108,TN-01005248
S7X1ZT1178,V-109,TN-01001873
S7X1ZT1192,V-111,TN-01005258
S7X1ZT1180,V-114,TN-01001872
S7X1ZT1181,V-115,TN-01001874
S7X1ZT1182,V-118,TN-01005249
S7X1ZT1177,V-120,TN-01001871
S7X1ZT1183,V-121,TN-01005250
S7X1ZT1191,V-125,TN-01005259
S7X1ZT1190,V-126,TN-01005260
